document,hunk,tag,old_lines,new_lines,category,old_excerpt,new_excerpt
main,1,replace,45-45,45-45,FIXED_POINT_MPC_SYNC,"Mobile crowdsensing (MCS) requires truth discovery over conflicting reports while preserving worker privacy and maintaining reliability across repeated tasks. We propose LIR-PPTD, a lightweight inter-task reputation-assisted scheme under threshold secret sharing. LIR-PPTD separates task-local infere","Mobile crowdsensing (MCS) requires truth discovery over conflicting reports while preserving worker privacy and maintaining reliability across repeated tasks. We propose LIR-PPTD, a lightweight inter-task reputation-assisted scheme under threshold secret sharing. LIR-PPTD separates task-local infere"
main,2,replace,67-67,67-67,AFFECTED_EXPERIMENT_UPDATE,"\item We evaluate LIR-PPTD on four adversarial benchmarks and the complete timestamped NetEaseCrowd trace using equal-information controls, mechanism ablations, selector variation, longitudinal dependence analysis, and secure-execution measurements. The 20-selector-seed study yields 19/20 mean wins ","\item We evaluate LIR-PPTD on four adversarial benchmarks and the complete timestamped NetEaseCrowd trace using equal-information controls, mechanism ablations, selector variation, longitudinal dependence analysis, geometry-scaling validation, and secure-execution measurements. The geometry-final 20"
main,3,replace,119-119,119-119,GEO_TAU_REQUIRED,The cross-dataset evaluation uses,We scale the consistency kernel by the public geometry of the legal report domain:
main,4,replace,121-121,121-121,GEO_TAU_REQUIRED,"\tau_r=\lambda_\tau D,","\tau_r=\lambda_\tau\,\operatorname{diam}_2^2(\mathcal X_r),"
main,5,replace,124-124,124-124,GEO_TAU_REQUIRED,"where $\lambda_\tau>0$. Section~\ref{sec:vi-d} characterizes its behavior across categorical dimensions and reports a domain-diameter normalization for broader high-dimensional use. With $a_{i,r}^{(k)}=(c_{i,e}+\epsilon_c)q_{i,r}^{(k)}$, the next estimate is","where $\lambda_\tau>0$ and $\mathcal X_r$ is fixed by the task configuration. For normalized numerical reports $\mathcal X_r=[0,1]^D$, $\operatorname{diam}_2^2(\mathcal X_r)=D$; for $D$-class one-hot categorical reports, $\operatorname{diam}_2^2(\mathcal X_r)=2$. Thus the numerical scale is unchange"
main,6,replace,333-333,333-333,FIXED_POINT_MPC_SYNC,"Assume an accepted ordinary task has a nonempty participant set $\mathcal W_r$, reports $\mathbf x_{i,r}\in[0,1]^D$, reputations $c_{i,e}\in[0,1]$, and public parameters $\epsilon_c>0$ and $\tau_r>0$. Then the denominator of Eq.~\eqref{eq:exact-initialization} is positive and $\widehat{\mathbf x}_r^","Assume an accepted ordinary task has a nonempty participant set $\mathcal W_r$, reports $\mathbf x_{i,r}\in\mathcal X_r\subseteq[0,1]^D$, reputations $c_{i,e}\in[0,1]$, and public parameters $\epsilon_c>0$ and $\tau_r>0$. Let $B_{d,r}:=\operatorname{diam}_2^2(\mathcal X_r)$. Then the denominator of "
main,7,replace,335-335,335-335,FIXED_POINT_MPC_SYNC,"0\le d_{i,r}^{(k)}\le D,","0\le d_{i,r}^{(k)}\le B_{d,r},"
main,8,replace,337-337,337-337,FIXED_POINT_MPC_SYNC,"\frac{\tau_r}{\tau_r+D}\le q_{i,r}^{(k)}\le1,","\frac{\tau_r}{\tau_r+B_{d,r}}\le q_{i,r}^{(k)}\le1,"
main,9,replace,599-599,599-599,ARTIFACT_PROVENANCE,"We evaluate robustness and mechanism necessity, parameter/evidence sensitivity, cryptographic and recovery cost, synthetic operating boundaries, and timestamped longitudinal behavior. Unless stated otherwise, paired adversarial comparisons use identical task streams and malicious-worker identities. ","We evaluate robustness and mechanism necessity, domain-geometry scaling, cryptographic and recovery cost, synthetic operating boundaries, and timestamped longitudinal behavior. Unless stated otherwise, paired adversarial comparisons use identical task streams and malicious-worker identities. Complet"
main,10,replace,636-636,636-636,AFFECTED_EXPERIMENT_UPDATE,"Defaults are $(N,T)=(10,4)$, $K=10$, $c_0=0.5$, $\epsilon_c=2^{-10}$, $\lambda_\tau=0.2$, $\kappa=2$, $\eta=0.1$, $\tau_r=0.2D$, and $f=24$. The task-ID selector uses $P=20$ ($\pi=0.05$), realizing 429/8315, 4/108, 48/807, and 86/1700 calibration tasks on Product/Duck/Dog/Weather. The same fixed mas","Defaults are $(N,T)=(10,4)$, $K=10$, $c_0=0.5$, $\epsilon_c=2^{-10}$, $\lambda_\tau=0.2$, $\kappa=2$, $\eta=0.1$, $\tau_r=0.2\,\operatorname{diam}_2^2(\mathcal X_r)$, and $f=24$. The task-ID selector uses $P=20$ ($\pi=0.05$), realizing 429/8315, 4/108, 48/807, and 86/1700 calibration tasks on Produc"
