section,figure_table,metric,dataset,algorithm_version,tau_mode,source_file,source_sha256,rerun_needed,updated_value,status,notes
Abstract,claim,17/20 nonzero malicious-ratio lower mean loss vs CRH/PPTD,Product/Duck/Dog/Weather,geometry-final,geometry_diameter_scaling,results/p0_1c_hidden_b1_geometry_v1/figure_b1_hidden_metric_means.csv,fb5d956c874e97d809cb4fa0d3f8abc9c33cb10ac2c21606a069988893e0d624,no,17/20,verified,
Abstract,claim,NetEase LIR>No-HR point estimate,NetEaseCrowd,geometry-final,geometry_diameter_scaling,analysis/geo_tau_final/netease_capability_geometry.csv,c92def7b7de0ccce560bae0c98f92955d454ee02ab37cbeead90c2e819c0d0cc,no,6/6 capabilities,verified,
Abstract/VI-B/Conclusion,selector robustness,20-selector-seed aggregate W/T/L,Product/Duck/Dog/Weather,geometry-final,geometry_diameter_scaling,analysis/geo_tau_final/selector_audit_geometry_merged/multi_selector_formal_summary.json,53c046216cffe61b40e796c71e664ec794beaeb6e0bf27d8e5e3fafd7c2cf6cb,no,CRH 19/0/1; PPTD 19/0/1; TQPP 14/0/6,verified,Dog 2000 rows geometry-rerun; 0 failures; 0 mask mismatches; other domains equivalence-bound
Sec.I,Contribution 4,benchmark/NetEase/geometry/secure-execution evidence,all,geometry-final,geometry_diameter_scaling,analysis/geo_tau_final/experiment_impact_matrix.csv,161a5dcce3dde6839ff6107949c398609969ec8800de0080f22dfc6eb3c50880,no,final geometry evidence set,verified,
Sec.III/IV,Eq. tau,tau=lambda*diameter^2(X),all,geometry-final,geometry_diameter_scaling,src/lir_pptd/core/consistency_scale.py,55a91932425317ba0b54168ebd0ee5721cd111f5e6505405c133ae096dfba699,no,geometry diameter scaling,verified,
Sec.V,fixed-point bound,domain squared-distance bound B_d,numerical/categorical,geometry-final,geometry_diameter_scaling,src/lir_pptd/fixedpoint/range_analysis.py,08f82938d383597c18fc89cc6ae3fe8daa594f229ea41118be89ad378a7e3733,no,numerical D; categorical 2,verified,
VI-B,Fig.3,malicious-ratio main,4 benchmarks,geometry-final,geometry_diameter_scaling,results/p0_1c_hidden_b1_geometry_v1/figure_b1_hidden_metric_means.csv,fb5d956c874e97d809cb4fa0d3f8abc9c33cb10ac2c21606a069988893e0d624,no,geometry-aware Dog; equivalent other domains,verified,
VI-B,Fig.4,attack robustness,4 benchmarks,geometry-final,geometry_diameter_scaling,results/b2_hidden_selector_geometry_v1/formal_summary.json,d66a6cb3fcc673f7b132a10e169bc79e039652e52581522f481844cfa1e7a0f0,no,geometry-aware Dog; equivalent other domains,verified,
VI-C,Fig.5,ablation,4 benchmarks,geometry-final,geometry_diameter_scaling,results/vi_c_hidden_selector_geometry_v1/formal_summary.json,869a4fb4ef5a9f215779d890b05422857296fd758660f98a5acbe873d1a0d7b9,no,geometry-aware Dog; equivalent other domains,verified,
VI-C,Fig.6,reputation evolution,Dog/Weather,geometry-final,geometry_diameter_scaling,analysis/geo_tau_final/near_tie_release.csv,0d7a5632795673b02a76c6f561cc5247418479cb60b4aa2104b99a587fc8ad56,no,Dog geometry / Weather equivalent,verified,trajectory source retained in C10 geometry family
VI-D,Fig.7,parameter sensitivity,Dog/Weather,geometry-final,geometry_diameter_scaling,analysis/geo_tau_final/parameter_sensitivity_geometry_final.csv,ca8f0fec24b8325426ee183f758b44ed37be8f9f5cc926e3efdadb0390fef798,no,560/560 Dog geometry exact runs + Weather numerical-equivalence evidence,verified,
VI-D,Fig.8,calibration corruption/missingness,Dog/Weather,geometry-final,geometry_diameter_scaling,analysis/geo_tau_final/calibration_quality_geometry_final.csv,3ae415fc9cc5d23a7db937666cc6fb5816a06e2672df93f1001069beebb44d6d,no,200/200 Dog geometry exact runs + Weather numerical-equivalence evidence,verified,
VI-D/Supp,order sensitivity,5 fixed task-ID permutations,4 benchmarks,geometry-final,geometry_diameter_scaling,analysis/geo_tau_final/task_order_geometry_final.csv,c9c443ba4d80ec67953cb92a4b97366495b3500cf9017de46114b0987afdbab6,no,200/200 Dog geometry exact runs; numerical/binary domains retained by equivalence,verified,
VI-B/Supp,behavior-switch,held-out switch loss,Dog + equivalent other domains,geometry-final,geometry_diameter_scaling,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl,aa18a0cbd1be4f67b016b05dddb67de525b90321879909eeff08cc9b94f3bbe3,no,geometry-aware COWA/LIR/No-CW,verified,
VI-F/Supp,high-D geometry,1200 paired categorical runs,synthetic,geometry-final,geometry_diameter_scaling,analysis/geo_tau_final/experiment_impact_matrix.csv,161a5dcce3dde6839ff6107949c398609969ec8800de0080f22dfc6eb3c50880,no,D16/32 12/12 non-worse,verified,
VI-E,Fig.9 after reintegration,arithmetic/kernel efficiency,numerical D=1,geometry-final,geometry_diameter_scaling,paper/figures/fig_vi_e_efficiency_main_compact_tight.png,367c568deb5517febded384cc342cc21c709e1bb7c7540f9f95e84815f54d480,no,unchanged: numerical tau identical,verified,
VI-E,MP-SPDZ table,real MPC latency/fidelity,numerical D=1,geometry-final,geometry_diameter_scaling,configs/p1d/p1d_e2e_design.json,2dcf5947d2a8a453dcb0351f89f7635e0bcaa97ffd64a2b07c842d2f2e6b0b3d,no,"resolved tau=0.2, primitive structure unchanged",verified,
VI-G,recovery,availability/recovery semantics,protocol,geometry-final,not_tau_dependent,results/vi_f_final_semantics_v1/formal_summary.json,,no,unchanged,verified,
