hypothesis_id,family,attack,rho,endpoint,primary,n,mean_lir_loss,mean_mean_vote_loss,mean_delta_lir_minus_mean,median_delta_lir_minus_mean,seed_wins_lir,seed_ties,seed_losses_lir,bootstrap95_low,bootstrap95_high,bootstrap_resamples,bootstrap_seed,p_one_sided_lir_less,p_one_sided_mean_less,p_two_sided,paired_rank_biserial,p_holm_lir_less,holm_reject_lir_less,direction,evidence_class
family=synthetic_num_small|attack=persistent|endpoint=MAE|comparator=mean_vote|rho=0,synthetic_num_small,persistent,0,MAE,False,20,0.009029163692637723,0.009028539751133893,6.2394150383083e-07,1.43441519560875e-06,7,0,13,-1.7054495078003207e-06,2.813405049356576e-06,10000,432388293391154750,0.6955480575561523,0.30445289611816406,0.6089057922363281,0.24761904761904763,,,mean_vote_better,control
family=synthetic_num_small|attack=persistent|endpoint=MAE|comparator=mean_vote|rho=1/10,synthetic_num_small,persistent,1/10,MAE,True,20,0.018417398069008203,0.026056505969593947,-0.007639107900585745,-0.0076569780920659756,20,0,0,-0.00782792857836011,-0.007455909275032287,10000,3245862475553561128,9.5367431640625e-07,1.0,1.9073486328125e-06,-1.0,4.76837158203125e-06,True,lir_pptd_better,supporting
family=synthetic_num_small|attack=persistent|endpoint=MAE|comparator=mean_vote|rho=3/10,synthetic_num_small,persistent,3/10,MAE,True,20,0.058722233224991816,0.07478891124036789,-0.01606667801537608,-0.01592902712691748,20,0,0,-0.01664116427826535,-0.01553090256942154,10000,12407470541078667643,9.5367431640625e-07,1.0,1.9073486328125e-06,-1.0,4.76837158203125e-06,True,lir_pptd_better,supporting
family=synthetic_num_small|attack=persistent|endpoint=MAE|comparator=mean_vote|rho=1/2,synthetic_num_small,persistent,1/2,MAE,True,20,0.11414522177103227,0.1241944980669205,-0.010049276295888225,-0.00960495533319886,20,0,0,-0.010755191458326653,-0.009394588222551447,10000,17366582560853983291,9.5367431640625e-07,1.0,1.9073486328125e-06,-1.0,4.76837158203125e-06,True,lir_pptd_better,supporting
family=synthetic_num_small|attack=persistent|endpoint=MAE|comparator=mean_vote|rho=7/10,synthetic_num_small,persistent,7/10,MAE,True,20,0.17511996721602618,0.1735766251364633,0.001543342079562889,0.00193669391063429,4,0,16,0.0009430910906483744,0.002103896801811833,10000,7073782994021484521,0.9999217987060547,7.915496826171875e-05,0.0001583099365234375,0.8666666666666667,1.0,False,mean_vote_better,comparator_lower_loss
family=synthetic_num_small|attack=persistent|endpoint=MAE|comparator=mean_vote|rho=9/10,synthetic_num_small,persistent,9/10,MAE,True,20,0.22652122528303856,0.22296840667994625,0.0035528186030922893,0.00366458448632509,0,0,20,0.0033294075057528003,0.0037694470907691075,10000,2696637084363593220,1.0,9.5367431640625e-07,1.9073486328125e-06,1.0,1.0,False,mean_vote_better,comparator_lower_loss
family=synthetic_num_small|attack=random|endpoint=MAE|comparator=mean_vote|rho=0,synthetic_num_small,random,0,MAE,False,20,0.009029163692637723,0.009028539751133893,6.2394150383083e-07,1.43441519560875e-06,7,0,13,-1.7313423351311063e-06,2.8486840463930435e-06,10000,1237691364935552201,0.6955480575561523,0.30445289611816406,0.6089057922363281,0.24761904761904763,,,mean_vote_better,control
family=synthetic_num_small|attack=random|endpoint=MAE|comparator=mean_vote|rho=1/10,synthetic_num_small,random,1/10,MAE,True,20,0.014975060573240948,0.02195275130922122,-0.006977690735980275,-0.007048423778166698,20,0,0,-0.007154577845780032,-0.006794418341264146,10000,456724119324911494,9.5367431640625e-07,1.0,1.9073486328125e-06,-1.0,4.76837158203125e-06,True,lir_pptd_better,supporting
family=synthetic_num_small|attack=random|endpoint=MAE|comparator=mean_vote|rho=3/10,synthetic_num_small,random,3/10,MAE,True,20,0.03098065437767471,0.046161094936161766,-0.015180440558487055,-0.015060662379709195,20,0,0,-0.015502367109920425,-0.014853942856538382,10000,16883934509999112373,9.5367431640625e-07,1.0,1.9073486328125e-06,-1.0,4.76837158203125e-06,True,lir_pptd_better,supporting
family=synthetic_num_small|attack=random|endpoint=MAE|comparator=mean_vote|rho=1/2,synthetic_num_small,random,1/2,MAE,True,20,0.05250946715934988,0.07076711031497197,-0.018257643155622092,-0.018386406228797607,20,0,0,-0.018580709585489352,-0.01790604767651945,10000,6695420639489403473,9.5367431640625e-07,1.0,1.9073486328125e-06,-1.0,4.76837158203125e-06,True,lir_pptd_better,supporting
